id_job,gpu_id,avgmemoryutilization_pct,avgsmutilization_pct,memoryutilization_pct_avg,pcierxbandwidth_megabytes_avg,pcietxbandwidth_megabytes_avg,totalexecutiontime_sec,powerusage_watts_avg
252964138,0,0.0,0.0,0.0,1695.0,1555.0,29.89,26.0594
252964138,1,0.0,0.0,0.0,123.0,716.0,29.89,24.0092
252964138,1,0.0,0.0,0.0,1248.0,750.0,29.89,23.9697
252964138,0,0.0,0.0,0.0,562.0,120.0,29.92,41.6759
252964138,1,0.0,0.0,0.0,985.0,20.0,29.88,24.8057
252964138,0,0.0,0.0,0.0,692.0,1213.0,29.88,26.3598
252964138,0,0.0,0.0,0.0,457.0,109.0,29.89,25.5316
252964138,0,0.0,0.0,0.0,1315.0,1273.0,29.89,26.4013
252964138,1,0.0,0.0,0.0,2129.0,383.0,29.93,27.7348
252964138,1,0.0,0.0,0.0,1415.0,125.0,29.92,26.0446
252964138,0,0.0,0.0,0.0,791.0,487.0,29.88,25.6834
252964138,1,0.0,0.0,0.0,875.0,1332.0,29.88,24.1364
252964138,1,0.0,0.0,0.0,2034.0,1555.0,29.89,25.1378
252964138,0,0.0,0.0,0.0,179.0,1311.0,29.93,25.6655
252964138,1,0.0,0.0,0.0,1931.0,285.0,29.89,25.801
252964138,0,0.0,0.0,0.0,1468.0,581.0,29.89,24.3573
424199986,0,7.0,19.0,7.0,619.0,1014.0,62210.2,59.5467
424199986,0,7.0,19.0,6.0,848.0,818.0,62210.2,58.944
424199986,0,7.0,18.0,8.0,639.0,812.0,62210.2,60.3085
424199986,1,7.0,19.0,7.0,1180.0,1284.0,62210.2,55.7793
424199986,0,7.0,19.0,8.0,1193.0,1247.0,62210.2,58.6765
424199986,1,7.0,19.0,7.0,1653.0,1126.0,62210.2,57.0378
424199986,1,7.0,17.0,7.0,989.0,1105.0,62210.2,56.9818
424199986,1,7.0,19.0,8.0,1260.0,903.0,62210.2,57.6144
424199986,1,7.0,16.0,7.0,1451.0,776.0,62210.2,59.3035
424199986,0,7.0,19.0,7.0,553.0,547.0,62210.2,55.3403
424199986,0,7.0,19.0,7.0,1203.0,1110.0,62210.2,56.4583
424199986,0,7.0,19.0,6.0,1367.0,1070.0,62210.3,57.0514
424199986,1,7.0,19.0,6.0,1691.0,1500.0,62210.3,59.0847
